,Hotel Name,Rating,Rating Group,Free WiFi,Airport Shuttle,Distance From Airport,Restaurant,Private Parking,Bar,Non Smoking Rooms,Pet Friendly,Elevator
0,Domus Donnaregina Apartments,9.3,3.0,True,False,3.3,False,False,False,True,False,False
1,Hotel Relais Il Cestello,8.6,3.0,True,False,4.9,False,True,True,True,False,False
2,Sleep & Zupp Casa Olimpia,9.3,3.0,True,True,4.4,False,True,False,True,True,False
3,Barbarella SPA,9.0,3.0,True,True,4.5,False,False,False,True,False,True
4,palazzo suite ducale,9.1,3.0,True,False,7.5,False,False,False,False,True,False
5,La Tela Bianca,9.0,3.0,True,True,4.6,False,True,False,True,True,False
6,Affittacamere Greenhause,7.3,2.0,True,False,6.0,False,False,False,True,False,False
7,Corte Lucatella,8.9,3.0,True,False,7.7,False,False,False,True,False,False
8,Ca' Venar,9.8,3.0,True,False,8.1,False,False,False,True,False,False
9,Lucrezia Apartment by Firenze Prestige,9.3,3.0,True,False,5.2,False,True,False,True,False,False
10,NH Collection Palazzo Cinquecento,8.6,3.0,True,False,13.7,True,True,True,True,True,False
11,Hotel Elite,8.2,3.0,True,True,14.6,False,True,False,True,False,True
12,Rhome Hosting,9.7,3.0,True,True,16.3,False,True,False,True,False,False
13,Hotel Vittorio Veneto,7.1,2.0,True,False,3.0,False,True,False,False,False,False
14,Ca' Frezzeria,9.2,3.0,True,False,7.9,False,False,False,False,False,False
15,"HG Boutique Toledo, Napoli Centro, by ClaPa Group",8.6,3.0,True,True,5.0,False,True,False,True,True,False
16,Hotel Giorgione,8.4,3.0,True,False,7.1,False,False,True,True,False,False
17,The Shire Hotel,9.0,3.0,True,False,14.9,False,False,False,False,True,False
18,B&B Sweet Sleep,8.9,3.0,True,False,3.1,True,False,True,True,True,False
19,Residenza D'Epoca San Jacopo,7.1,2.0,True,False,5.5,False,False,False,True,False,True
20,Together Florence Inn,8.1,3.0,True,False,10.1,False,True,True,True,True,False
21,Maison Imperiale,8.6,3.0,True,True,13.1,False,False,False,True,False,False
22,Atlante Star Hotel,7.9,3.0,True,False,15.9,True,False,True,True,True,False
23,Zanobi Apartment,8.7,3.0,True,True,5.1,False,True,False,True,True,False
24,ilbricco,9.8,3.0,True,True,4.2,False,True,False,True,False,False
25,Campo de' Fiori Apartment,8.4,3.0,True,True,14.8,False,False,False,True,False,False
26,Corso 277 Apartment,9.7,3.0,True,True,14.2,False,False,False,False,False,True
27,Park Palace Hotel,8.5,3.0,True,False,6.5,True,True,True,True,False,False
28,B&b Kingsman,9.3,3.0,True,False,4.6,False,False,False,True,False,True
29,Princeps Boutique Hotel,9.2,3.0,True,True,13.5,False,True,True,True,False,False
30,Hotel Pantheon,8.4,3.0,True,False,14.6,False,False,True,True,True,True
31,47 Boutique Hotel,8.6,3.0,True,True,13.6,True,False,True,True,False,False
32,Privacy in Venice - Your apartment to be let alone,9.5,3.0,True,False,7.7,False,False,False,True,False,False
33,Casa Claudia ai Frari,8.8,3.0,True,True,7.8,False,False,False,True,False,False
34,Santa Maria Novella - WTB Hotels,9.1,3.0,True,False,5.1,False,True,True,True,True,False
35,Amare Napoli,8.7,3.0,True,True,3.3,False,True,True,True,True,True
36,Belle Donne Apartments,8.9,3.0,True,True,5.2,False,False,False,True,False,False
37,Nobile House,8.7,3.0,True,True,7.9,False,False,False,True,False,False
38,Yellow House,9.6,3.0,True,False,8.0,False,False,False,False,False,False
39,Via Frattina Spanish Steps Luxury Flat,8.1,3.0,True,True,14.8,False,True,False,True,True,False
40,NH Collection Grand Hotel Palazzo Dei Dogi,8.4,3.0,True,False,6.5,True,False,False,False,True,False
41,Casa Roberta,9.7,3.0,True,False,8.2,False,False,False,True,False,False
42,Palazzo Turchini,8.4,3.0,True,True,4.8,False,True,True,True,False,False
43,La Baia Di Partenope,9.3,3.0,True,False,4.3,False,True,False,True,False,True
44,Hotel Cineholiday,8.1,3.0,True,True,3.2,False,True,True,True,True,False
45,Corte Contarina San Marco Apartment R&R,8.7,3.0,True,True,7.9,False,False,False,False,True,False
46,River Palace Hotel,8.7,3.0,True,False,15.9,False,True,True,True,False,False
47,Casa Santo Nome di Gesu,8.2,3.0,True,False,5.1,False,True,False,True,False,True
48,Residenza d'Epoca Sant Egidio,8.7,3.0,True,False,5.9,False,False,False,True,False,False
49,Residenza San Calisto,9.0,3.0,True,True,14.1,False,False,False,False,False,False
50,Terrazze Navona,8.7,3.0,True,False,15.0,False,False,False,True,False,True
51,Bed Boutique Napoli Colors,8.7,3.0,True,False,3.5,False,True,False,True,False,True
52,A.Roma Lifestyle Hotel,8.9,3.0,True,True,15.8,False,True,True,False,False,False
53,Hotel Mercure Roma Corso Trieste,8.2,3.0,True,True,15.0,False,True,True,True,True,False
54,FuordArno Bed & Breakfast,9.7,3.0,True,False,6.1,False,False,False,True,False,False
55,Savoy Riviera,8.9,3.0,True,True,7.1,False,True,True,True,True,False
56,Hotel Fellini,8.7,3.0,True,False,14.3,True,False,True,True,False,False
57,LH Hotel Lloyd Rome,7.8,3.0,True,False,14.5,False,True,False,True,True,False
58,Venice Appartament Salini,9.3,3.0,True,False,8.2,False,False,False,True,False,False
59,Hotel Plebiscito Aparthotel,8.2,3.0,True,False,5.6,False,True,False,True,True,True
60,Comfort Zone Naples,9.1,3.0,True,True,4.6,False,False,False,True,True,False
61,B&B Metropolitan,7.7,3.0,True,True,2.9,False,False,False,True,False,False
62,GOGO` Boutique Hotel,8.5,3.0,True,False,4.4,False,True,True,True,False,False
63,Hotel Sant'Antonin,9.0,3.0,True,False,7.7,False,False,True,True,True,False
64,Hotel Bella Venezia,8.2,3.0,True,True,7.7,False,True,True,True,False,False
65,Romantic and Charming Apartments,9.6,3.0,True,False,7.2,True,True,False,True,False,False
66,I Tesori di Napoli,9.2,3.0,True,False,3.4,False,False,False,True,False,False
67,Hotel al Graspo de Ua,7.1,2.0,True,False,7.5,True,False,False,True,True,False
68,LUXURY APARTMENT San Marco Experience,9.2,3.0,False,False,7.8,False,False,True,True,True,False
69,The Gallery 42 Guest House,9.3,3.0,True,False,5.4,False,True,False,True,False,True
70,Glance in Rome,8.9,3.0,True,True,13.8,False,False,False,True,True,True
71,Residence degli Artisti,9.1,3.0,True,False,7.2,False,False,False,True,False,False
72,Hotel Villa Il Castagno,7.0,2.0,True,False,6.2,False,True,True,True,True,False
73,Castel Sant Angelo's Harmonious Apartment,8.6,3.0,True,False,16.4,False,False,False,False,False,False
74,The Grey,9.3,3.0,True,True,4.0,False,True,False,True,False,True
75,La Perla a Palazzo Vecchio,9.9,3.0,True,False,5.7,False,True,False,True,False,False
76,Bella Napoli Suites,7.5,2.0,True,True,3.0,False,False,False,False,False,False
77,Cà Lucy,8.9,3.0,True,False,7.4,False,False,False,True,True,False
